"id","title","runtime","release_date","genres","vote_average","vote_count","budget","revenue"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143,"2005-12-07","['Adventure', 'Family', 'Fantasy']",7.1,9580,180000000,745013115
299536,Avengers: Infinity War,149,"2018-04-25","['Adventure', 'Action', 'Science Fiction']",8.3,27040,300000000,2052415039
758336,Love Again,104,"2023-05-04","['Romance', 'Drama', 'Comedy']",6.3,61,9000000,10000000
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,117,"2020-10-16","['Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller']",8.3,3198,15800000,503063688
385128,F9,143,"2021-05-19","['Action', 'Adventure', 'Crime']",7.2,6426,200000000,726229501
438148,Minions: The Rise of Gru,87,"2022-06-29","['Animation', 'Comedy', 'Family']",7.4,2878,85000000,939628210
682507,Where the Crawdads Sing,125,"2022-07-15","['Mystery', 'Drama', 'Thriller']",7.6,1141,24000000,127000000
384018,Fast & Furious Presents: Hobbs & Shaw,137,"2019-08-01","['Action', 'Adventure', 'Comedy']",6.9,6428,200000000,760098996
676710,The Amazing Maurice,93,"2022-12-16","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6.9,84,17000000,3901839
102382,The Amazing Spider-Man 2,141,"2014-04-16","['Action', 'Adventure', 'Fantasy']",6.5,12057,200000000,708962323
265712,Stand by Me Doraemon,90,"2014-08-08","['Animation', 'Family', 'Science Fiction', 'Fantasy']",7.3,438,35000000,83061158
646385,Scream,114,"2022-01-12","['Horror', 'Mystery', 'Thriller']",6.7,2473,24000000,140041405
296096,Me Before You,110,"2016-06-01","['Drama', 'Romance']",7.9,11180,20000000,207945075
324552,John Wick: Chapter 2,122,"2017-02-08","['Action', 'Thriller', 'Crime']",7.3,11644,40000000,171539887
458156,John Wick: Chapter 3 - Parabellum,131,"2019-05-15","['Action', 'Thriller', 'Crime']",7.4,9347,55000000,326709727
315635,Spider-Man: Homecoming,133,"2017-07-05","['Action', 'Adventure', 'Science Fiction', 'Drama']",7.3,20097,175000000,880166924
580489,Venom: Let There Be Carnage,97,"2021-09-30","['Science Fiction', 'Action', 'Adventure']",6.9,8853,110000000,506863592
671,Harry Potter and the Philosopher's Stone,152,"2001-11-16","['Adventure', 'Fantasy']",7.9,24858,125000000,976475550
168259,Furious 7,137,"2015-04-01","['Action', 'Thriller', 'Crime']",7.2,9800,190000000,1515341399
438695,Sing 2,110,"2021-12-01","['Animation', 'Family']",7.9,3728,85000000,406000000
381288,Split,117,"2017-01-19","['Horror', 'Thriller']",7.3,16034,9000000,278454358
551271,Medieval,126,"2022-09-08","['Action', 'Drama', 'History']",7.2,381,23000000,4311284
1858,Transformers,143,"2007-06-27","['Adventure', 'Science Fiction', 'Action']",6.8,10187,150000000,709709780
537915,After,106,"2019-04-11","['Romance', 'Drama']",7.1,7621,14000000,69497587
672,Harry Potter and the Chamber of Secrets,161,"2002-11-13","['Adventure', 'Fantasy']",7.7,19961,100000000,876688482
557,Spider-Man,121,"2002-05-01","['Fantasy', 'Action']",7.3,17207,139000000,821708551
345940,The Meg,113,"2018-08-09","['Action', 'Science Fiction', 'Horror']",6.2,6486,150000000,530517320
673,Harry Potter and the Prisoner of Azkaban,141,"2004-05-31","['Adventure', 'Fantasy']",8.0,19597,130000000,789804554
324786,Hacksaw Ridge,139,"2016-10-07","['Drama', 'History', 'War']",8.2,12307,40000000,175302354
674,Harry Potter and the Goblet of Fire,157,"2005-11-16","['Adventure', 'Fantasy', 'Family']",7.8,18874,150000000,895921036
337339,The Fate of the Furious,136,"2017-04-12","['Action', 'Crime', 'Thriller']",6.9,9532,250000000,1236005118
882598,Smile,115,"2022-09-23","['Horror', 'Mystery', 'Thriller']",6.8,2091,17000000,216135048
964980,Air,112,"2023-04-05","['Drama', 'History']",7.4,969,90000000,87078875
532408,The Boogeyman,99,"2023-05-31","['Horror', 'Mystery', 'Fantasy']",6.3,78,41900000,39637895
12445,Harry Potter and the Deathly Hallows: Part 2,130,"2011-07-07","['Fantasy', 'Adventure']",8.1,18804,125000000,1341511219
157336,Interstellar,169,"2014-11-05","['Adventure', 'Drama', 'Science Fiction']",8.4,31585,165000000,701729206
335787,Uncharted,116,"2022-02-10","['Action', 'Adventure']",7.0,4758,120000000,401748820
767,Harry Potter and the Half-Blood Prince,153,"2009-07-07","['Adventure', 'Fantasy']",7.7,17747,250000000,933959197
718930,Bullet Train,126,"2022-07-03","['Action', 'Comedy', 'Thriller']",7.5,4318,90000000,239268602
68718,Django Unchained,165,"2012-12-25","['Drama', 'Western']",8.2,24173,100000000,425368238
550988,Free Guy,115,"2021-08-11","['Comedy', 'Adventure', 'Science Fiction']",7.6,7259,110000000,331526598
1930,The Amazing Spider-Man,136,"2012-06-23","['Action', 'Adventure', 'Fantasy']",6.7,16048,215000000,757930663
76203,"12 Years a Slave",134,"2013-10-18","['Drama', 'History']",7.9,10406,20000000,187000000
830784,"Lyle, Lyle, Crocodile",106,"2022-10-07","['Comedy', 'Family', 'Music']",7.3,424,50000000,104088441
899112,Violent Night,112,"2022-11-30","['Action', 'Comedy', 'Crime', 'Thriller']",7.5,1458,20000000,75734910
429617,Spider-Man: Far From Home,129,"2019-06-28","['Action', 'Adventure', 'Science Fiction']",7.5,14101,160000000,1131927996
12444,Harry Potter and the Deathly Hallows: Part 1,146,"2010-10-06","['Adventure', 'Fantasy']",7.8,17430,250000000,954305868
338953,Fantastic Beasts: The Secrets of Dumbledore,142,"2022-04-06","['Fantasy', 'Adventure', 'Family']",6.7,3594,200000000,406950844
937278,A Man Called Otto,126,"2022-12-28","['Comedy', 'Drama']",7.9,1315,50000000,108961677
717728,Jeepers Creepers: Reborn,88,"2022-09-15","['Horror', 'Thriller', 'Mystery']",5.7,795,5000000,5954938
744275,After We Fell,99,"2021-09-01","['Romance', 'Drama']",7.1,2192,14000000,21500000
597,Titanic,194,"1997-11-18","['Drama', 'Romance']",7.9,22991,200000000,2264162353
566525,Shang-Chi and the Legend of the Ten Rings,132,"2021-09-01","['Action', 'Adventure', 'Fantasy']",7.6,8151,150000000,432243292
675,Harry Potter and the Order of the Phoenix,138,"2007-06-28","['Adventure', 'Fantasy', 'Mystery']",7.7,17804,150000000,938212738
585,"Monsters, Inc.",92,"2001-11-01","['Animation', 'Comedy', 'Family']",7.8,16841,115000000,579707738
760104,X,106,"2022-03-17","['Horror', 'Mystery', 'Thriller']",6.8,1991,10000000,14779858
653851,Devotion,139,"2022-11-23","['War', 'Drama', 'Action']",7.2,508,90000000,20000000
877269,Strange World,102,"2022-11-23","['Animation', 'Family', 'Adventure', 'Science Fiction']",6.5,977,180000000,73621640
539681,DC League of Super-Pets,105,"2022-07-27","['Animation', 'Action', 'Family', 'Comedy', 'Science Fiction']",7.4,1256,90000000,203000000
406759,Moonfall,130,"2022-02-03","['Science Fiction', 'Adventure', 'Action']",6.4,2470,146000000,67295363
24428,The Avengers,143,"2012-04-25","['Science Fiction', 'Action', 'Adventure']",7.7,28706,220000000,1518815515
982271,Book Club: The Next Chapter,108,"2023-05-11","['Comedy', 'Romance']",7.0,49,35000000,20000000
216015,Fifty Shades of Grey,125,"2015-02-11","['Drama', 'Romance', 'Thriller']",5.9,10945,40000000,571006128
808,Shrek,90,"2001-05-18","['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",7.7,15427,60000000,487853320
424783,Bumblebee,113,"2018-12-15","['Action', 'Adventure', 'Science Fiction']",6.7,5482,135000000,467989645
238,The Godfather,175,"1972-03-14","['Drama', 'Crime']",8.7,18076,6000000,245066411
232672,Blended,117,"2014-05-21","['Comedy', 'Romance']",6.9,3113,40000000,127994610
337404,Cruella,134,"2021-05-26","['Comedy', 'Crime']",8.1,8248,200000000,233503234
579974,RRR,187,"2022-03-24","['Action', 'Drama']",7.8,967,69000000,160000000
198663,The Maze Runner,113,"2014-09-10","['Action', 'Mystery', 'Science Fiction', 'Thriller']",7.2,15633,34000000,348319861
752623,The Lost City,112,"2022-03-24","['Action', 'Adventure', 'Comedy']",6.6,2793,74000000,192907684
460465,Mortal Kombat,110,"2021-04-07","['Action', 'Fantasy', 'Adventure']",7.1,5265,20000000,84426031
311324,The Great Wall,103,"2016-12-16","['Action', 'Adventure', 'Fantasy']",6.0,4645,150000000,331957105
399566,Godzilla vs. Kong,114,"2021-03-24","['Action', 'Fantasy', 'Science Fiction']",7.7,8876,200000000,470116094
848058,Piggy,99,"2022-10-07","['Horror', 'Thriller', 'Drama']",6.7,386,2400000,380512
354912,Coco,105,"2017-10-27","['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']",8.2,17278,175000000,800526015
337167,Fifty Shades Freed,105,"2018-01-17","['Drama', 'Romance']",6.7,7385,55000000,368307760
862,Toy Story,81,"1995-10-30","['Animation', 'Adventure', 'Family', 'Comedy']",8.0,16771,30000000,394400000
508943,Luca,95,"2021-06-17","['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",7.9,7330,200000000,49750471
207703,Kingsman: The Secret Service,129,"2014-12-13","['Crime', 'Comedy', 'Action', 'Adventure']",7.6,15390,81000000,414351546
559,Spider-Man 3,139,"2007-05-01","['Fantasy', 'Action', 'Adventure']",6.4,12765,258000000,894983373
1865,Pirates of the Caribbean: On Stranger Tides,137,"2011-05-14","['Adventure', 'Action', 'Fantasy']",6.5,12885,379000000,1045713802
14836,Coraline,100,"2009-02-05","['Animation', 'Family', 'Fantasy']",7.8,6653,60000000,124600000
8587,The Lion King,89,"1994-06-23","['Family', 'Animation', 'Drama']",8.3,16605,45000000,763455561
22803,Law Abiding Citizen,109,"2009-10-15","['Drama', 'Crime', 'Thriller']",7.4,4497,53000000,127944208
38757,Tangled,100,"2010-11-24","['Animation', 'Family']",7.6,10281,260000000,592461732
299534,Avengers: Endgame,181,"2019-04-24","['Adventure', 'Science Fiction', 'Action']",8.3,23289,356000000,2794731755
756999,The Black Phone,103,"2022-06-22","['Horror', 'Thriller']",7.7,3918,17000000,161440742
9453,Caligula,156,"1979-08-14","['Drama', 'History', 'Romance']",6.0,674,17500000,23438120
675445,PAW Patrol: The Movie,86,"2021-08-09","['Animation', 'Family', 'Adventure', 'Comedy']",7.4,1116,26000000,144327371
476669,The King's Man,131,"2021-12-22","['Action', 'Adventure', 'Thriller']",6.8,3754,100000000,125928656
450465,Glass,129,"2019-01-16","['Thriller', 'Drama', 'Science Fiction']",6.7,7617,20000000,246941965
2062,Ratatouille,111,"2007-06-28","['Animation', 'Comedy', 'Family', 'Fantasy']",7.8,15336,150000000,623726000
718789,Lightyear,105,"2022-06-15","['Animation', 'Action', 'Adventure', 'Family', 'Science Fiction']",7.1,2880,200000000,226425420
106,Predator,107,"1987-06-12","['Science Fiction', 'Action', 'Adventure', 'Thriller']",7.5,7030,15000000,98267558
50014,The Help,146,"2011-08-09",['Drama'],8.2,7327,25000000,216639112
106646,The Wolf of Wall Street,180,"2013-12-25","['Crime', 'Drama', 'Comedy']",8.0,21697,100000000,392000000
512195,Red Notice,118,"2021-11-04","['Action', 'Comedy', 'Crime', 'Thriller']",6.8,4909,160000000,178143
459151,The Boss Baby: Family Business,107,"2021-07-01","['Animation', 'Comedy', 'Adventure', 'Family']",7.5,2214,82000000,146745280
293660,Deadpool,108,"2016-02-09","['Action', 'Adventure', 'Comedy']",7.6,28452,58000000,783100000
438631,Dune,155,"2021-09-15","['Science Fiction', 'Adventure']",7.8,8959,165000000,402027830
118340,Guardians of the Galaxy,121,"2014-07-30","['Action', 'Science Fiction', 'Adventure']",7.9,26162,170000000,772776600
615777,Babylon,189,"2022-12-22","['Drama', 'Comedy']",7.5,1810,78000000,56351455
526896,Morbius,105,"2022-03-30","['Action', 'Science Fiction', 'Fantasy']",6.2,3484,75000000,167500000
436969,The Suicide Squad,132,"2021-07-28","['Action', 'Comedy', 'Adventure']",7.6,7374,185000000,168717425
809,Shrek 2,93,"2004-05-19","['Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure']",7.2,11066,150000000,928760770
639933,The Northman,137,"2022-04-07","['Action', 'Adventure', 'Fantasy']",7.1,3414,70000000,69633110
460458,Resident Evil: Welcome to Raccoon City,107,"2021-11-24","['Horror', 'Science Fiction', 'Action']",6.1,2078,40000000,38600612
22,Pirates of the Caribbean: The Curse of the Black Pearl,143,"2003-07-09","['Adventure', 'Fantasy', 'Action']",7.8,18837,140000000,655011224
27449,Baby Face,76,"1933-07-13","['Drama', 'Romance']",7.2,95,187000,451000
14160,Up,96,"2009-05-28","['Animation', 'Comedy', 'Family', 'Adventure']",7.9,18485,175000000,735099082
739405,Operation Fortune: Ruse de Guerre,114,"2023-01-04","['Action', 'Comedy', 'Adventure', 'Thriller']",6.6,818,50000000,37846713
37165,The Truman Show,103,"1998-06-04","['Comedy', 'Drama']",8.1,16337,60000000,264118201
524434,Eternals,156,"2021-11-03","['Science Fiction', 'Action', 'Adventure']",7.0,7201,200000000,402064899
285,Pirates of the Caribbean: At World's End,169,"2007-05-19","['Adventure', 'Fantasy', 'Action']",7.2,13073,300000000,961000000
330457,Frozen II,103,"2019-11-20","['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']",7.3,8890,150000000,1450026933
99861,Avengers: Age of Ultron,141,"2015-04-22","['Action', 'Adventure', 'Science Fiction']",7.3,21383,365000000,1405403694
480530,Creed II,130,"2018-11-21","['Drama', 'Action']",7.0,4853,50000000,214215889
585245,Clifford the Big Red Dog,97,"2021-11-10","['Family', 'Adventure', 'Comedy', 'Fantasy']",7.2,1569,64000000,107347356
423108,The Conjuring: The Devil Made Me Do It,111,"2021-05-25","['Horror', 'Mystery', 'Thriller']",7.5,5128,39000000,206431050
420818,The Lion King,118,"2019-07-12","['Adventure', 'Drama', 'Family', 'Animation']",7.1,9144,260000000,1663075401
425,Ice Age,81,"2002-03-10","['Animation', 'Comedy', 'Family', 'Adventure']",7.3,12056,59000000,383257136
245891,John Wick,101,"2014-10-22","['Action', 'Thriller']",7.4,17495,20000000,88761661
177572,Big Hero 6,102,"2014-10-24","['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",7.7,14484,165000000,657827828
626872,Emergency Declaration,140,"2022-08-03","['Action', 'Drama', 'Mystery', 'Thriller']",7.7,242,18052672,19200000
303857,Dragon Ball Z: Resurrection 'F',93,"2015-04-18","['Action', 'Animation', 'Science Fiction']",6.8,1660,5000000,61768190
588228,The Tomorrow War,138,"2021-09-03","['Action', 'Science Fiction', 'Adventure']",7.5,2565,200000000,14400000
18785,The Hangover,100,"2009-06-02",['Comedy'],7.3,15514,35000000,469310836
10198,The Princess and the Frog,98,"2009-12-08","['Romance', 'Family', 'Animation']",7.2,4932,105000000,270997378
120,The Lord of the Rings: The Fellowship of the Ring,179,"2001-12-18","['Adventure', 'Fantasy', 'Action']",8.4,22810,93000000,871368364
10674,Mulan,88,"1998-06-18","['Animation', 'Family', 'Adventure']",7.9,8720,90000000,304320254
312221,Creed,133,"2015-11-25","['Action', 'Drama']",7.4,6756,37000000,173567581
343668,Kingsman: The Golden Circle,141,"2017-09-20","['Action', 'Adventure', 'Comedy']",7.0,9343,104000000,410902662
661374,Glass Onion: A Knives Out Mystery,140,"2022-11-23","['Comedy', 'Crime', 'Mystery']",7.1,4172,40000000,13280000
27205,Inception,148,"2010-07-15","['Action', 'Science Fiction', 'Adventure']",8.4,33822,160000000,825532764
228150,Fury,135,"2014-10-15","['War', 'Drama', 'Action']",7.5,10792,68000000,211817906
906221,Magic Mike's Last Dance,112,"2023-02-09","['Comedy', 'Drama', 'Romance']",7.0,284,45000000,52000000
11688,The Emperor's New Groove,78,"2000-12-15","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",7.5,5949,100000000,169327687
155,The Dark Knight,152,"2008-07-14","['Drama', 'Action', 'Crime', 'Thriller']",8.5,29855,185000000,1004558444
637649,Wrath of Man,119,"2021-04-22","['Action', 'Adventure', 'Crime', 'Thriller']",7.7,4450,40000000,103966489
9820,The Parent Trap,128,"1998-07-28","['Comedy', 'Family']",7.2,3685,15000000,92108518
529203,The Croods: A New Age,95,"2020-11-25","['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",7.5,3365,65000000,215905815
339846,Baywatch,116,"2017-05-25","['Comedy', 'Action', 'Crime']",6.1,7413,69000000,177856751
156022,The Equalizer,132,"2014-09-24","['Thriller', 'Action', 'Crime']",7.2,7870,55000000,192330738
624860,The Matrix Resurrections,147,"2021-12-16","['Science Fiction', 'Action', 'Adventure']",6.5,4796,190000000,156497322
629542,The Bad Guys,100,"2022-03-17","['Animation', 'Action', 'Adventure', 'Crime', 'Comedy', 'Family']",7.7,1532,80000000,250162278
497698,Black Widow,134,"2021-07-07","['Action', 'Adventure', 'Science Fiction']",7.3,8994,200000000,379751131
138843,The Conjuring,112,"2013-07-18","['Horror', 'Thriller']",7.5,10409,13000000,320406242
58,Pirates of the Caribbean: Dead Man's Chest,151,"2006-07-06","['Adventure', 'Fantasy', 'Action']",7.3,14565,200000000,1065659812
49013,Cars 2,106,"2011-06-11","['Animation', 'Family', 'Adventure', 'Comedy']",6.1,6929,200000000,559852396
8373,Transformers: Revenge of the Fallen,149,"2009-06-19","['Science Fiction', 'Action', 'Adventure']",6.2,7724,200000000,836303693
109418,Grown Ups 2,101,"2013-07-11",['Comedy'],6.1,3817,80000000,247022278
150540,Inside Out,95,"2015-06-09","['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",7.9,19090,175000000,857611174
527774,Raya and the Last Dragon,107,"2021-03-03","['Animation', 'Family', 'Fantasy', 'Action', 'Adventure']",7.9,6074,100000000,130423032
953,Madagascar,86,"2005-05-25","['Family', 'Animation', 'Adventure', 'Comedy']",6.9,9892,75000000,542063846
545611,Everything Everywhere All at Once,140,"2022-03-24","['Action', 'Adventure', 'Science Fiction']",7.8,4763,25000000,139200000
10138,Iron Man 2,124,"2010-04-28","['Adventure', 'Action', 'Science Fiction']",6.8,19392,200000000,623933331
12,Finding Nemo,100,"2003-05-30","['Animation', 'Family']",7.8,17736,94000000,940335536
131631,The Hunger Games: Mockingjay - Part 1,123,"2014-11-19","['Science Fiction', 'Adventure', 'Thriller']",6.8,14464,125000000,755356711
49018,Insidious,103,"2010-09-13","['Horror', 'Thriller']",6.9,6056,1500000,99870886
8966,Twilight,122,"2008-11-20","['Fantasy', 'Drama', 'Romance']",6.3,12439,37000000,393616788
146233,Prisoners,153,"2013-09-18","['Drama', 'Thriller', 'Crime']",8.1,10419,46000000,122126687
118,Charlie and the Chocolate Factory,115,"2005-07-13","['Adventure', 'Comedy', 'Family', 'Fantasy']",7.0,13669,150000000,474968763
383498,Deadpool 2,120,"2018-05-10","['Action', 'Comedy', 'Adventure']",7.5,15977,110000000,785896609
260513,Incredibles 2,118,"2018-06-14","['Action', 'Adventure', 'Animation', 'Family']",7.5,11828,200000000,1242805359
425909,Ghostbusters: Afterlife,124,"2021-11-11","['Fantasy', 'Comedy', 'Adventure']",7.5,3674,75000000,191000000
818397,Memory,114,"2022-04-28","['Action', 'Thriller', 'Crime']",6.9,1225,30000000,11300000
4247,Scary Movie,88,"2000-07-07",['Comedy'],6.3,6187,19000000,278019771
810,Shrek the Third,93,"2007-05-17","['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",6.3,8124,160000000,813367380
370172,No Time to Die,163,"2021-09-29","['Adventure', 'Action', 'Thriller']",7.4,5288,250000000,774153007
474350,It Chapter Two,169,"2019-09-04","['Horror', 'Fantasy']",6.9,7771,79000000,473122525
762504,Nope,130,"2022-07-20","['Horror', 'Mystery', 'Science Fiction']",6.9,2983,68000000,170823080
10192,Shrek Forever After,93,"2010-05-16","['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",6.3,6583,165000000,752600867
150689,Cinderella,105,"2015-03-12","['Romance', 'Fantasy', 'Family', 'Drama']",6.8,6570,95000000,543514353
193893,Let's Be Cops,104,"2014-08-13",['Comedy'],6.5,2538,17000000,136621271
72190,World War Z,116,"2013-06-20","['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",6.8,14124,200000000,531865000
260514,Cars 3,102,"2017-06-15","['Animation', 'Adventure', 'Comedy', 'Family']",6.9,5106,175000000,383925276
122917,The Hobbit: The Battle of the Five Armies,144,"2014-12-10","['Action', 'Adventure', 'Fantasy']",7.3,13042,250000000,956019788
497,The Green Mile,189,"1999-12-10","['Fantasy', 'Drama', 'Crime']",8.5,15492,60000000,286801374
11224,Cinderella,74,"1950-02-22","['Family', 'Fantasy', 'Animation', 'Romance']",7.0,6102,2900000,263591415
589754,The Last Warrior: Root of Evil,120,"2021-01-01","['Fantasy', 'Adventure', 'Comedy']",6.9,129,8400000,27658331
254128,San Andreas,114,"2015-05-27","['Action', 'Drama', 'Thriller']",6.2,7678,110000000,473990832
878361,Big George Foreman,129,"2023-04-27","['History', 'Drama']",7.8,49,32000000,3800000
7445,Brothers,105,"2009-01-22","['Drama', 'Thriller', 'War']",7.3,3045,26000000,43318349
863,Toy Story 2,92,"1999-10-30","['Animation', 'Comedy', 'Family']",7.6,12612,90000000,497366869
121,The Lord of the Rings: The Two Towers,179,"2002-12-18","['Adventure', 'Fantasy', 'Action']",8.4,19837,79000000,926287400
109445,Frozen,102,"2013-11-20","['Animation', 'Family', 'Adventure', 'Fantasy']",7.2,15233,150000000,1274219009
508442,Soul,101,"2020-12-25","['Animation', 'Family', 'Comedy', 'Fantasy', 'Drama']",8.2,9197,150000000,136384442
